DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,19771301,26573,SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       
20200515,58136901,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200515,9OBMPY01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200515,02195501,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200515,22990901,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,99K68101,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,99BKIS01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200514,99C15T01,23807,KIT AUTOMOTIVO AU 953 MP3+4 ALTO FALANTES    
20200514,99C15T01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200514,99D7T301,21855,CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   
20200514,9OG4AG01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200514,9O7MUV01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200513,99AFAJ01,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200513,9NXBNB01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200512,99GKVN01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200512,99K68101,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200512,99DHOS01,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200512,99BHDP01,25680,SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB POLAR
20200512,99JLEZ01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200512,99BT8Q01,26632,SMARTPHONE MOTOROLA MOTO G8 64GB BLUE        
20200512,9OHLVT01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200512,87900201,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200512,74813201,24913,SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN
20200512,74813201,25676,SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR 
20200511,22318101,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200511,9ON4L701,26525,SMARTPHONE LG K12 MAX AZUL                   
20200511,59292401,25087,SMARTPHONE SAMSUNG GAL J7 PRIME TV 2 DB PT   
