DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,27184601,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200515,09283601,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200515,52002001,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200514,50746701,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200514,99BN5P01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200514,99J21701,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200513,YZ251701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200513,YZ07R801,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200513,50746701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200512,9OLUEV01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200512,13421801,21256,CELULAR BLU TANK II T193 DB PRETO AZUL       
20200512,13421801,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200512,21579001,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200512,YZ157701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200511,98111701,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200511,99DN8Y01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200511,YZ0ZN201,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200510,11502001,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200509,08858801,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200509,00012501,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200509,9NZ87H01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200509,19522501,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200508,99KGYR01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200508,9OFL9801,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200508,9NZ87H01,26545,SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        
20200507,04299601,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200507,12237701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200506,YZ0VD701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200506,19522501,19690,RADIO RECEPTOR 5 FXS RM PF34                 
20200506,19522501,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200506,19522501,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200506,06662501,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200505,21160801,15712,SUPORTE PRETO TV LCD 10 A 55 ART.SBRP120     
20200505,12802601,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200505,99MKYZ01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200505,25112701,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200505,99C9QH01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200504,99D0HU01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200504,9OG1VM01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200504,99KGXL01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
20200504,99F5AM01,19524,RADIO RECEPTOR 7 FXS RM PFT73AC              
