DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,94185501,26582,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   
20200515,9OONYI01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200515,YZ0CGI01,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200514,9OQFLC01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200514,99DTF001,22978,CONJ.SC-AKX100LBK PANASONIC                  
20200514,99FYWY01,25730,SMARTPHONE SAMSUNG GAL J4 CORE 16GB AZUL     
20200514,9OJI9W01,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200514,99K7Z101,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200513,YZ206301,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200513,YZ206301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,9NYQIT01,25730,SMARTPHONE SAMSUNG GAL J4 CORE 16GB AZUL     
20200513,95921001,23780,RADIO CJ88 ABRALLK LG                        
20200513,27320301,23319,TABLET NB247 M9-3G QC PRETO                  
20200513,9OCECG01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200513,9OCECG01,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200513,9OO31F01,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200513,99GB1201,25871,SMARTPHONE LG K12 PLUS PRETO                 
20200512,99BT7801,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200512,9OFE2H01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200512,16369301,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200512,71127101,25190,IMPRESSORA MULTIFUNCIONAL EPSON ECOTANK L396 
20200511,89495001,25356,"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        "
20200511,9O94BW01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200511,9OAHQV01,26525,SMARTPHONE LG K12 MAX AZUL                   
20200510,9OO6H601,26545,SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        
20200510,9OQB4G01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200509,44929101,23802,BOOMBOX BX-19 BIVOLT UP DYNAMIC              
20200509,9OA3EK01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200509,9OKPNZ01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200509,9O0HFL01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200509,42269101,26324,"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL"
20200509,9OHIN601,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200508,99BLZX01,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200508,99BLZX01,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200508,99LHLU01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200508,9OA9P001,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200508,9NZLB601,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200507,88PM2801,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200507,69949901,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200507,69949901,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200507,99BTJY01,21854,CELULAR BLU JENNY 2.8 T276 DB PRETO-AZUL     
20200507,9OG1TR01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
